"sku","name","brand_id","map"
"AAA001","Whale's Tale",1,35
"AAA002","Mighty Bear",1,40
"AAA003","Halibut",1,35
"AAA004","Alaska King Crab",1,35
"AAA005","Husky",1,35
"AAA006","Soaring Eagle",1,35
"AAA007","Perfect Puffin",1,35
"AAA008","Sand Dollar",1,35
"AAA009","Platypus",1,35
"AAA010","Alligator",1,35
"AAA011","Conch Seashell",1,35
"AAA012","Pelican",1,35
"AAA013","Owl",1,35
"AAA014","Killer Whale",1,40
"AAA015","Manatee",1,40
"AAA016","Shetland Sheepdog",1,40
"AAA017","Pug",1,40
"AAA018","Corgi",1,40
"AAA019","Pomeranian",1,40
"AAA020","Shih Tzu",1,40
"AAA021","Cocker Spaniel",1,40
"AAA022","Bulldog",1,40
"AAA023","Yorkshire Terrier",1,40
"AAA024","Maltese",1,40
"AAA025","Golden Retriever",1,40
"AAA026","Doberman Pinscher",1,40
"AAA027","Great Dane",1,40
"AAA029","Beagle",1,40
"AAA030","Boxer",1,40
"AAA031","Dachshund",1,40
"AAA032","Rottweiler",1,40
"AAA033","Cavalier King Charles Spaniel",1,40
"AAA034","French Bulldog",1,40
"AAA035","Labrador Retriever",1,40
"AAA036","White Terrier",1,40
"AAA037","Curly Sheep",1,40
"AAA040","T-Rex Skull",1,60
"AAA040N","T-Rex Skull Necklace",1,100
"AAA041","Turkey Platter",1,40
"AAD001","Derby Hat",1,35
"AAF00101","Chocolate",1,45
"AAF00102","Chocolate",1,45
"AAF00103","Chocolate",1,45
"DUMMY","Dummy",1,35
"AAH001","Leprechaun",1,40
"AAH001G","Leprechaun",1,50
"AAH002","Arrr",1,40
"AAL003","I Love You Mom",1,40
"AAL004","I Love You Daughter",1,40
"AAL005","I Love You Sister",1,40
"AAL006","I Love You Aunt",1,40
"AAL007","I Love You Niece",1,40
"AAL008","I Love You Nana",1,40
"AAL009","I Love You Grandma",1,40
"AAL010","Daddy's Little Girl",1,45
"AAL011","Trust Love",1,40
"AAL012","Love Hurts",1,45
"AAM001","Trumpet",1,45
"AAM002","Sousaphone",1,45
"AAM003","Cymbals",1,45
"AAM004","Clarinet",1,45
"AAM005","Flute",1,45
"AAM006","Trombone",1,45
"AAM007","Snare Drum",1,45
"AAM008","Bass Drum",1,45
"AAM009","Saxophone",1,45
"AAM010","Drum Major",1,45
"AAN001","Angel Nurse Cap",1,35
"AAP001","Handcuffs",1,40
"AAP002","Screw Me",1,25
"AAP003","Get Nailed",1,25
"AAP004","Feeling Knotty",1,25
"AAP005","Go Nuts!",1,25
"AAP007","Inner Peace",1,40
"AAP008","Asana",1,40
"AAR001","Drops of Life",1,45
"AAR002","Cranium",1,45
"AAR003","Widget",1,45
"AAR004","Arachnid",1,45
"AAR005","Finding Time",1,45
"AAR006","Sacrifice",1,45
"AAR007","Last Grasp",1,45
"AAR008","Cameo",1,45
"AAR009","Rest In Peace",1,45
"AAS001","Snowshoes",1,40
"AAS002","The Big Catch",1,40
"AAS003","Scuba",1,35
"AAS004","Skiing",1,35
"AAS005","Trophy",1,35
"AAS006","Soccer Mom",1,60
"AAS007","Hockey Mom",1,60
"AAS009","Figure Skating",1,40
"AAS010","The Enforcer",1,40
"AAS011","Color Guard",1,40
"AAS012","Snowboarding",1,40
"AAS013","Curling",1,40
"AAS014","Bobsledding",1,40
"AAT001","Igloo",1,35
"AAT002","Seaplane",1,35
"AAT003","Alaska Cruising",1,30
"AAT004","Anchors Aweigh",1,35
"AAT005","My Lifesaver",1,40
"AAT006","Gold Rush",1,50
"AAT007","Maine Cruising",1,30
"AAT008","Around The World",1,40
"AAT009","Desk Globe",1,45
"AAT100","I Heart Vermont",1,40
"AAT101","I Heart Florida",1,40
"AAT102","I Heart Ohio",1,40
"AAT103","I Heart Rhode Island",1,40
"AAT104","I Heart Massachusetts",1,40
"AAT105","I Heart New York",1,40
"AAT106","I Heart New Hampshire",1,40
"AAT107","I Heart Arizona",1,40
"AAT108","I Heart Minnesota",1,40
"AAT109","I Heart North Carolina",1,40
"AAT110","I Heart Tennessee",1,40
"AAT111","I Heart Connecticut",1,40
"AAT112","I Heart Texas",1,40
"AAT113","I Heart California",1,40
"AAT114","I Heart Washington",1,40
"AAT115","I Heart Pennsylvania",1,40
"AAT116","I Heart Georgia",1,40
"AAT117","I Heart Louisiana",1,40
"AAT118","I Heart Michigan",1,40
"AAT119","I Heart Missouri",1,40
"AAT122","I Heart Virginia",1,40
"AAT123","Bucket List",1,40
"AAY001","Moose Xing",1,35
"AAY002","Totem",1,35
"AAY003","I Heart Alaska",1,40
"AAY004","I Heart Maine",1,40
"AAY005","Mortar & Pestle",1,35
"AAY006","Budai",1,40
"AAY006G","Budai",1,55
"AAY007","Rock On",1,35
"AAY008","Je Maindientrai",1,80
"AAY009","Infinite Time",1,40
"AAY010","Divine Providence",1,40
"AAY011","Merkaba",1,40
"AAY014","Life Force",1,40
"AGB007","Bloom -14K Gold",1,700
"AGB041","Butterfly Band -14K Gold",1,350
"AGJ009A","Tear Drop -14K Gold",1,400
"AGJ011B","Rhombus -14K Gold",1,550
"AGLS003","Happy Hearts -14K Gold",1,550
"AGS010","Folk Hearts -14K Gold",1,300
"AGS012","Swirl Filigree -14K Gold",1,300
"AGS018","Heart & Crown -14K Gold",1,400
"AGS052","Hugs & Kisses -14K Gold",1,150
"AHA001","Otter",1,40
"AHB001","Australia Flag/Map",1,35
"AHB002","Union Jack Flag/Map",1,35
"AHB003","USA Flag",1,35
"AHB005","World Peace",1,40
"AHB007","Hawaiian Ukulele Girl",1,40
"AHB008","Girl's Night Out",1,50
"AHC001","Baby Blocks Love Family",1,40
"AHD001","Watermelon",1,60
"AHD002","Bluebird of Happiness",1,55
"AHD00207","Spring Robin",1,60
"AHD003","Three Butterflies",1,45
"AHD004","Hugs & Kisses",1,45
"AHD005","The Star",1,45
"AHD00603","Dragonfly Teal Enamel",1,45
"AHD00604","Dragonfly Green Enamel",1,45
"AHD00605","Dragonfly Blue Enamel",1,45
"AHD00608","Dragonfly Red Enamel",1,45
"AHD007","Coils Black Enamel",1,40
"AHD01501","Team Colors",1,55
"AHE001","Karaoke Machine",1,40
"AHE002","Movie Camera",1,40
"AHE003","My Computer",1,35
"AHF003","Take Out",1,30
"AHF004","My Latte",1,30
"AHF005","Coffee To Go",1,30
"AHF006","Pretty Teapot",1,35
"AHF007","Pretty Teacup",1,30
"AHF008","Vacation Cocktail",1,35
"AHF009","Cherry Cheesecake",1,45
"AHH001","Books",1,35
"AHH002","Lucky Hand",1,40
"AHH003","Classic Camera",1,40
"AHH004","Matryoshka Doll",1,35
"AHH005","Basketball",1,35
"AHH006","Martial Art",1,35
"AHH007","Roller Derby Skate",1,40
"AHH008","I Love Knitting",1,35
"AHH009","Extreme Surfing",1,35
"AHH010","Equestrian",1,35
"AHH011","Ice Hockey",1,40
"AHH012","Shuttlecock",1,30
"AHH013","Skateboard",1,40
"AHH014","Saxophone",1,35
"AHH015","Trumpet",1,35
"AHH016","Treble Clef",1,30
"AHH017","I Love Quilting",1,40
"AHH018","I Love Sewing",1,35
"AHH019","Music",1,30
"AHH020","Let's Go Camping!",1,30
"AHH021","Baseball",1,35
"AHH022","Pianist",1,35
"AHH023","Cheerleader",1,35
"AHI001","Guan Yin",1,40
"AHI002","Venus Of Willendorf",1,40
"AHI003","Our Lady of Guadalupe",1,40
"AHI004","Braille Charms",1,40
"AHI005","Caduceus",1,35
"AHKS001","True Wish",1,40
"AHKS012","Fleur De Lis",1,70
"AHL001","Lighthouse",1,30
"AHL003","Arc De Triomphe",1,50
"AHM001","A Mother's Love",1,35
"AHM002","Marry Me",1,80
"AHM004","Super Mom",1,40
"AHM005","Our World",1,45
"AHN001","Earth Element",1,40
"AHN002","Fire Element",1,40
"AHN003","Water Element",1,40
"AHN004","Air / Wind Element",1,40
"AHN005","Acorn",1,35
"AHN007","Woodland Tree",1,45
"AHN010","Daisy Garden",1,30
"AHN012","Flower Garden",1,50
"AHN01308","Fiddle Head Fern",1,50
"AHN01312","Fiddle Head Fern",1,50
"AHN017","Butterfly Garden",1,40
"AHN019","I Love Nature",1,45
"AHN020","Orange Lightning",1,30
"AHN02010","Pink Lightning",1,30
"AHN021","Clouds",1,35
"AHO001","Snowman",1,30
"AHO00201","Jan. Birthday Cake",1,45
"AHO00202","Feb. Birthday Cake",1,45
"AHO00203","Mar. Birthday Cake",1,45
"AHO00204","Apr. Birthday Cake",1,45
"AHO00205","May Birthday Cake",1,45
"AHO00206","Jun. Birthday Cake",1,45
"AHO00207","Jul. Birthday Cake",1,45
"AHO00208","Aug. Birthday Cake",1,45
"AHO00209","Sep. Birthday Cake",1,45
"AHO00210","Oct. Birthday Cake",1,45
"AHO00211","Nov. Birthday Cake",1,45
"AHO00212","Dec. Birthday Cake",1,45
"AHO003","Carolers",1,45
"AHO004","Rock & Roll Gingerbread",1,35
"AHO005","St. Nick",1,40
"AHO006","Mrs. Claus",1,30
"AHO008","Gift Box",1,55
"AHO009","Sleigh/Rudolf Flip Charm",1,45
"AHO010","Pet Bunny",1,40
"AHO011","Hatching Chick",1,35
"AHO012","Faberge Egg",1,45
"AHO01208","Faberge Egg",1,45
"AHO013","Classic Easter Bunny",1,35
"AHO014","Easter Bunny",1,35
"AHO016","Happy Gift",1,40
"AHO017","Flip Flops On The Beach",1,40
"AHO018","Beach Trip",1,40
"AHO02003","Baby Boy Peapod",1,40
"AHO02010","Baby Girl Peapod",1,40
"AHO021","Tom The Turkey",1,35
"AHO022","Hamsa Star of David",1,35
"AHO023","Cross",1,35
"AHO024","Black Bird Pie",1,55
"AHP001","Chef Hat",1,35
"AHP003","Firefighter Hat",1,50
"AHP004","Astronaut",1,35
"AHP005","Police Cap",1,35
"AHP006","Tractor",1,50
"AHP007","Trailer Truck",1,50
"AHP008","Graduation Cap",1,40
"AHR001","Off-Road Vehicle",1,40
"AHR002","Bug Classic Car",1,35
"AHR003","Space Shuttle",1,35
"AHR004","1960's Hippie Van",1,40
"AHR005","Camper",1,40
"AHR006","Police Car",1,40
"AHR007","Little Car",1,40
"AHR008","Blimp",1,30
"AHR009","Fire Truck",1,40
"AHR01007","Hot Air Balloon",1,45
"AHR01012","Hot Air Balloon",1,45
"AHR011","Cruise Ship",1,30
"AHS001","Wizard Hat",1,35
"AHS002","Knight",1,40
"AHS004","Fairytale Castle",1,35
"AHS005","Baby Alien",1,35
"AHS006","Sock Monkey",1,35
"AHS008","ICU Monster",1,35
"AHS009","Arcade Game Ghost",1,35
"AHS010","Pirate Rabbit",1,35
"AHS011","Pirate Ship",1,35
"AHS012","Ninja",1,35
"AHS013","Mushroom House",1,35
"AHS014","Mr. Gnome",1,35
"AHS016","Alien",1,35
"AHS017","Google-Eyed Monster",1,35
"AHS018","Dinosaur Egg",1,40
"AHS019","Sock Monster",1,35
"AHS020","Magic Lamp",1,30
"AHS021","Fairy Princess Snail",1,35
"AHS022","Good Witch & Cat",1,35
"AHS023","Tribal Unicorn",1,40
"AHS024","TV",1,40
"AHS025","Retired Robot",1,40
"AHS026","Alien Twins",1,40
"AHS029","UFO",1,35
"AHS030","Butterfly Fairy",1,35
"AHS031","Lil' Devil",1,30
"AHS032","Lil' Angel",1,30
"AHS033","Fall Fairy",1,40
"AHS034","Winter Fairy",1,40
"AHS035","Spring Fairy",1,40
"AHS036","Summer Fairy",1,40
"AHS038","Forest Fairy",1,30
"AHS039","Evil Rubber Duckie",1,35
"AHS040","Female Vampire",1,35
"AHS041","Bride Of Frankenstein",1,35
"AHS042","Drama",1,60
"AHS043","Halloween",1,50
"AHT001","Tooth Fairy",1,45
"AHT002","Happy Tooth",1,40
"AHT008","Joy De Vivre Knot",1,45
"AHT008SG","Joy De Vivre Knot",1,60
"AHT009","Prosperity Knot",1,45
"AHT009SG","Prosperity Knot",1,60
"AHT010","All Squared Knot",1,40
"AHT010SG","All Squared Knot",1,50
"AHT011","Fit To Be Tied",1,60
"AHT011SG","Fit To Be Tied",1,75
"AHT012","Knot A Care In The World",1,85
"AHT012SG","Knot A Care In The World",1,95
"AHT013","Stones and Squares",1,60
"AHT013SG","Stones and Squares",1,70
"AHV001","Fish Bowl",1,40
"AHV002","Pond Frog",1,35
"AHV003","Dolphin",1,40
"AHV005","Poodle",1,45
"AHV006","Cute Kitty",1,35
"AHV007","Turtle Honu",1,35
"AHV008","Wild Piggie",1,30
"AHV010","Pretty Peacock",1,40
"AHV011","Gone Fishing",1,35
"AHV012","Peace on Earth Dove",1,35
"AMU101","Aster",1,40
"AMU102","Lotus",1,40
"AMU103","Tiger Lily",1,40
"AMU104","Iris",1,40
"AMU105","Agave",1,40
"AMU111","Cody",1,40
"AMU112","Kiana",1,40
"AMU113","Venice",1,40
"AMU114","Astoria",1,40
"AMU115","Eden",1,40
"AMU121","Barracuda",1,40
"AMU122","Wahoo",1,40
"AMU123","Dorado",1,40
"AMU124","Chinook",1,40
"AMU125","Pompano",1,40
"AMU131","Caramel",1,40
"AMU132","Taffy",1,40
"AMU133","Candied Apple",1,40
"AMU134","Snow Cone",1,40
"AMU141","Polwygle",1,40
"AMU201","Orange/Black Paw Print",1,35
"AMU202","Orange/White Paw Print",1,35
"AMU203","Black/Yellow Paw Print",1,35
"AMU204","Blue/White Paw Print",1,35
"AMU205","Blue/Yellow Paw Print",1,35
"AMU211","Black/Orange Paw Print",1,35
"AMU212","White/Orange Paw Print",1,35
"AMU213","Yellow/Black Paw Print",1,35
"AMU214","White/Blue Paw Print",1,35
"AMU215","Yellow/Blue Paw Print",1,35
"AMU301","SHS Paw Print",1,40
"AMV00101","Aurora Borealis - Luminous",1,40
"AMV00102","Aurora Borealis - Flames",1,40
"AMV00103","Aurora Borealis - Forest Echo",1,40
"AMV00104","Aurora Borealis - Reflections",1,40
"AMV00201","Amazon",1,35
"AMV00202","Mossman",1,35
"AMV00203","Rio Grande",1,35
"AMV00204","Colorado",1,35
"AMV00205","Yangtze",1,35
"AMV00206","Mekong",1,35
"AMV00207","Seine",1,35
"AMV00208","Rhone",1,35
"AMV00209","Ganges",1,35
"AMV00210","Thames",1,35
"AMV00211","Wheaton",1,35
"AMV00212","Memuru",1,35
"AMV00213","Daintree",1,35
"AMV00301","Delphinium",1,35
"AMV00302","Crocus",1,35
"AMV00303","Primrose",1,35
"AMV00304","Forsythia",1,35
"AMV00305","Thunderstorms",1,35
"AMV00401","Northern Lights",1,35
"AMV00402","Sunshine",1,35
"AMV00403","Sky Fire",1,35
"AMV00501","The Last Blooms",1,35
"AMV00502","Nuts & Berries",1,35
"AMV00503","In the Koi Pond",1,35
"AMV00504","Across the Lake",1,35
"AMV00601","Dark Soul",1,40
"AMV00602","Broken Heart",1,40
"AMV00603","Royal Blood",1,40
"AMV00701","Eggnog",1,35
"AMV00702","Mulled Cider",1,35
"AMV00703","Hot Chocolate",1,35
"AMV00704","Cold Milk",1,35
"AMV008","Year of the Horse",1,40
"AMV009","Lilac Memories",1,40
"AMW00101","Ohm Swirls",1,35
"AMW00102","Ohm Swirls",1,35
"AMW00201","Fleur De Lis",1,35
"AMW00202","Fleur De Lis",1,35
"AMW00203","Fleur De Lis",1,35
"AMW00204","Fleur De Lis",1,35
"APY201","Orange/Black Paw Pave",1,50
"APY202","Orange/White Paw Pave",1,50
"APY203","Black/White Paw Pave",1,50
"APY204","White/Black Paw Pave",1,50
